Date,Team,Acquired,Relinquised,injury,severity,score
2017-01-27,Celtics,Demetrius Jackson,,returned to lineup,,0
2017-01-28,Grizzlies,,Deyonta Davis,left foot injury ,DTD,1
2017-01-28,Grizzlies,Troy Daniels,,returned to lineup,,0
2017-01-28,Hawks,,Thabo Sefolosha,groin injury ,DTD,1
2017-01-28,Heat,Hassan Whiteside,,returned to lineup,,0
2017-01-28,Hornets,,Jeremy Lamb,metatarsal inflammation ,DTD,1
2017-01-28,Knicks,,Derrick Rose,sprained left ankle ,DTD,1
2017-01-28,Nets,Brook Lopez,,returned to lineup,,0
2017-01-28,Nets,Caris LeVert,,returned to lineup,,0
2017-01-28,Nets,Trevor Booker,,returned to lineup,,0
2017-01-29,76ers,,Joel Embiid,rest ,DTD,1
2017-01-29,Blazers,Maurice Harkless / Moe Harkless,,returned to lineup,,0
2017-01-29,Magic,,C.J. Wilcox,left Achilles tendinitis ,DTD,1
2017-01-29,Mavericks,Dirk Nowitzki,,returned to lineup,,0
2017-01-29,Mavericks,Wesley Matthews / Wes Matthews Jr.,,returned to lineup,,0
2017-01-29,Rockets,Eric Gordon,,returned to lineup,,0
2017-01-29,Blazers,Tim Quarterman,,returned to lineup,,0
2017-01-29,Blazers,,Ed Davis (a),left wrist injury,,0
2017-01-30,76ers,,Joel Embiid,bruised left knee ,out for season,10
2017-01-30,76ers,Jahlil Okafor,,returned to lineup,,0
2017-01-30,Cavaliers,,Kevin Love,lower back spasms ,DTD,1
2017-01-30,Heat,Tyler Johnson,,returned to lineup,,0
2017-01-30,Lakers,,Julius Randle,pneumonia ,DTD,1
2017-01-30,Magic,Evan Fournier,,returned to lineup,,0
2017-01-30,Mavericks,,Andrew Bogut,strained right hamstring ,DTD,1
2017-01-31,Hornets,Jeremy Lamb,,returned to lineup,,0
2017-01-31,Knicks,,Kristaps Porzingis,illness ,DTD,1
2017-01-31,Nuggets,,Will Barton,sore left ankle ,DTD,1
2017-01-31,Pelicans,,Tyreke Evans,left ankle injury ,DTD,1
2017-01-31,Spurs,Jonathon Simmons,,returned to lineup,,0
2017-02-01,76ers,,Robert Covington,bruised right hand/wrist ,DTD,1
2017-02-01,Celtics,,Kelly Olynyk,sore/strained left shoulder ,DTD,1
2017-02-01,Jazz,,Rodney Hood,hyperextended right knee ,DTD,1
2017-02-01,Knicks,Kristaps Porzingis,,returned to lineup,,0
2017-02-01,Pelicans,Tyreke Evans,,returned to lineup,,0
2017-02-01,Warriors,,Shaun Livingston,strained back ,DTD,1
2017-02-01,Warriors,,Zaur Pachulia / Zaza Pachulia,strained right rotator cuff ,DTD,1
2017-02-02,76ers,,Joel Embiid,rest ,DTD,1
2017-02-02,76ers,,Nerlens Noel,upper respiratory infection ,DTD,1
2017-02-02,Kings,,Garrett Temple,torn left hamstring ,DTD,1
2017-02-02,Nuggets,,Danilo Gallinari,strained groin ,DTD,1
2017-02-02,Pacers,,Rodney Stuckey,sprained right ankle ,DTD,1
2017-02-02,Warriors,,Draymond Green,bruised left shoulder ,DTD,1
2017-02-03,Blazers,Ed Davis (a),,returned to lineup,,0
2017-02-03,Bulls,,Jimmy Butler,bruised right heel ,DTD,1
2017-02-03,Celtics,Kelly Olynyk,,returned to lineup,,0
2017-02-03,Hornets,,Ramon Sessions,torn lateral meniscus in left knee ,out indefinitely,8
2017-02-03,Kings,,Arron Afflalo,illness ,DTD,1
2017-02-03,Lakers,,Julius Randle,illness ,DTD,1
2017-02-03,Mavericks,,Devin Harris,illness ,DTD,1
2017-02-03,Rockets,,Nene / Nene Hilario / Maybyner Hilario,sore groin ,DTD,1
2017-02-03,Timberwolves,,Adreian Payne,thrombocytopenia ,,0
2017-02-03,Timberwolves,,Kris Dunn,right hand injury ,DTD,1
2017-02-03,Timberwolves,,Zach LaVine,torn ACL in left knee ,out for season,10
2017-02-03,Mavericks,,Deron Williams,sprained right big toe ,DTD,1
2017-02-04,76ers,,Jahlil Okafor,knee injury ,DTD,1
2017-02-04,76ers,,Joel Embiid,sore left knee ,out for seaon,10
2017-02-04,76ers,Nerlens Noel,,returned to lineup,,0
2017-02-04,Bulls,,Cristiano Felicio,right leg injury ,DTD,1
2017-02-04,Cavaliers,,Kyrie Irving,bruised right quadriceps ,DTD,1
2017-02-04,Cavaliers,Kevin Love,,returned to lineup,,0
2017-02-04,Grizzlies,,Chandler Parsons,DNP,,0
2017-02-04,Grizzlies,,Marc Gasol,rest ,DTD,1
2017-02-04,Kings,Arron Afflalo,,returned to lineup,,0
2017-02-04,Raptors,,Patrick Patterson,bruised left knee ,DTD,1
2017-02-04,Warriors,Draymond Green,,returned to lineup,,0
2017-02-05,Nets,,Caris LeVert,sore right knee ,DTD,1
2017-02-06,76ers,,Joel Embiid,bruised left knee ,out for season,10
2017-02-06,76ers,Jahlil Okafor,,returned to lineup,,0
2017-02-06,76ers,Robert Covington,,returned to lineup,,0
2017-02-06,Cavaliers,Kyrie Irving,,returned to lineup,,0
2017-02-06,Grizzlies,Chandler Parsons,,returned to lineup,,0
2017-02-06,Grizzlies,Marc Gasol,,returned to lineup,,0
2017-02-06,Lakers,Julius Randle,,returned to lineup,,0
2017-02-06,Mavericks,,Deron Williams,sprained right big toe ,DTD,1
2017-02-06,Mavericks,Devin Harris,,returned to lineup,,0
2017-02-06,Nets,,Quincy Acy,sprained left ankle ,DTD,1
2017-02-06,Spurs,,Kawhi Leonard,bruised right quadriceps ,DTD,1
2017-02-07,Blazers,,Evan Turner,fractured right hand ,out indefinitely,8
2017-02-07,Mavericks,,Deron Williams,sprained right big toe ,DTD,1
2017-02-07,Pelicans,,Tyreke Evans,sprained left ankle ,DTD,1
2017-02-07,Rockets,Nene / Nene Hilario / Maybyner Hilario,,returned to lineup,,0
2017-02-08,,,Dragan Bender,surgery on right ankle to remove bone spur ,out indefinitely,8
2017-02-08,76ers,,Richaun Holmes,upper respiratory infection ,DTD,1
2017-02-08,Blazers,,Evan Turner,surgery on right hand to repair fracture ,out indefinitely,8
2017-02-08,Bucks,,Jabari Parker,torn ACL in left knee ,out for season,10
2017-02-08,Cavaliers,,Iman Shumpert,sprained left ankle ,DTD,1
2017-02-08,Grizzlies,,Vince Carter,rest ,DTD,1
2017-02-08,Grizzlies,,Zach Randolph,sore left foot ,DTD,1
2017-02-08,Heat,,Dion Waiters,sprained left ankle ,DTD,1
2017-02-08,Hornets,,Ramon Sessions,surgery on left knee to repair torn lateral meniscus ,out for season,10
2017-02-08,Magic,,Aaron Gordon,bone bruise in right foot ,DTD,1
2017-02-08,Nets,Caris LeVert,,returned to lineup,,0
2017-02-08,Spurs,Kawhi Leonard,,returned to lineup,,0
2017-02-08,Nuggets,,Kenneth Faried,sprained right ankle ,DTD,1
2017-02-09,76ers,,Joel Embiid,rest ,DTD,1
2017-02-09,Blazers,,Evan Turner,recovering from surgery on right hand to repair fracture ,out indefinitely,8
2017-02-09,Bulls,,Paul Zipser,left ankle tendinitis ,DTD,1
2017-02-09,Jazz,,George Hill,sore left big toe ,DTD,1
2017-02-09,Kings,,Ty Lawson,adductor muscle injury / strained left hamstring ,DTD,1
2017-02-09,Mavericks,,Deron Williams,sprained left big toe ,DTD,1
2017-02-09,Rockets,,Eric Gordon,sore lower back ,DTD,1
2017-02-09,Rockets,,Nene / Nene Hilario / Maybyner Hilario,rest / shoulder injury ,DTD,1
2017-02-10,Bulls,Jimmy Butler,,returned to lineup,,0
2017-02-10,Grizzlies,,Chandler Parsons,rest ,DTD,1
2017-02-10,Grizzlies,Zach Randolph,,returned to lineup,,0
2017-02-10,Pelicans,,Terrence Jones,sprained right thumb ,DTD,1
2017-02-10,Timberwolves,Kris Dunn,,returned to lineup,,0
2017-02-10,Wizards,Danuel House,,returned to lineup,,0
2017-02-10,Nuggets,,Emmanuel Mudiay,sore lower back ,DTD,1
2017-02-11,76ers,,Joel Embiid,bruised left knee ,out for season,10
2017-02-11,76ers,Richaun Holmes,,returned to lineup,,0
2017-02-11,Jazz,George Hill,,returned to lineup,,0
2017-02-11,Rockets,Nene / Nene Hilario / Maybyner Hilario,,returned to lineup,,0
2017-02-12,Bulls,,Dwyane Wade,bruised right wrist ,DTD,1
2017-02-12,Bulls,,Jimmy Butler,bruised right heel ,DTD,1
2017-02-12,Bulls,,Nikola Mirotic,back spasms ,DTD,1
2017-02-12,Cavaliers,,Kevin Love,left knee injury ,DTD,1
2017-02-12,Pelicans,Tyreke Evans,,returned to lineup,,0
2017-02-13,Grizzlies,,Tony Allen,rest ,DTD,1
2017-02-13,Grizzlies,Chandler Parsons,,returned to lineup,,0
2017-02-13,Heat,Dion Waiters,,returned to lineup,,0
2017-02-13,Magic,Aaron Gordon,,returned to lineup,,0
2017-02-13,Nuggets,,Darrell Arthur,sore left knee ,DTD,1
2017-02-13,Nuggets,,Wilson Chandler,illness ,DTD,1
2017-02-13,Pacers,,Lavoy Allen,sore right knee ,DTD,1
2017-02-13,Warriors,,Klay Thompson,sore right heel ,DTD,1
2017-02-14,Blazers,,Al-Farouq Aminu,sprained left knee ,DTD,1
2017-02-14,Bulls,Jimmy Butler,,returned to lineup,,0
2017-02-14,Cavaliers,Iman Shumpert,,returned to lineup,,0
2017-02-14,Hornets,,Miles Plumlee,strained right calf ,DTD,1
2017-02-15,Bucks,,Jabari Parker,surgery on left knee to repair torn ACL ,out for season,10
2017-02-15,Grizzlies,Tony Allen,,returned to lineup,,0
2017-02-15,Kings,,Ty Lawson,strained left adductor muscle ,DTD,1
2017-02-15,Magic,,C.J. Watson,sore right Achilles ,DTD,1
2017-02-15,Rockets,Eric Gordon,,returned to lineup,,0
2017-02-15,Spurs,,Emanuel Ginobili / Manu Ginobili,left ankle impingement ,DTD,1
2017-02-15,Timberwolves,,Lance Stephenson,sprained left ankle ,DTD,1
2017-02-15,Warriors,Klay Thompson,,returned to lineup,,0
2017-02-16,Bulls,,Paul Zipser,left ankle tendinitis ,DTD,1
2017-02-16,Bulls,Nikola Mirotic,,returned to lineup,,0
2017-02-16,Kings,,Malachi Richardson,torn right hamstring ,DTD,1
2017-02-22,Pelicans,,Omer Asik,illness ,DTD,1
2017-02-23,Kings,,Arron Afflalo,sore left hamstring ,DTD,1
2017-02-23,Kings,Ty Lawson,,returned to lineup,,0
2017-02-23,Knicks,,Kristaps Porzingis,sprained right ankle ,DTD,1
2017-02-23,Nuggets,Darrell Arthur,,returned to lineup,,0
2017-02-23,Nuggets,Emmanuel Mudiay,,returned to lineup,,0
2017-02-23,Nuggets,Wilson Chandler,,returned to lineup,,0
2017-02-23,Pistons,,Beno Udrih,ankle injury ,DTD,1
2017-02-23,Magic,,C.J. Watson,Achilles injury ,DTD,1
2017-02-23,Pelicans,,Omri Casspi,fractured right thumb ,out indefinitely,8
2017-02-24,Bulls,Dwyane Wade,,returned to lineup,,0
2017-02-24,Clippers,,Diamond Stone,left knee injury ,DTD,1
2017-02-24,Heat,Josh Richardson,,returned to lineup,,0
2017-02-25,Cavaliers,,LeBron James,illness ,DTD,1
2017-02-25,Celtics,Chris Wilcox,,returned to lineup,,0
2017-02-26,Blazers,Al-Farouq Aminu,,returned to lineup,,0
2017-02-26,Heat,,Willie Reed,bursitis in right ankle / strained calf ,DTD,1
2017-02-26,Pelicans,E'Twaun Moore,,returned to lineup,,0
2017-02-27,Cavaliers,LeBron James,,returned to lineup,,0
2017-02-27,Knicks,,Joakim Noah,arthrosopic surgery on left knee to remove loose body ,out for season,10
2017-02-27,Raptors,,Kyle Lowry,surgery on right wrist to remove loose bodies ,,0
2017-02-28,Bucks,,Michael Beasley,hyperextended / sprained left knee ,DTD,1
2017-02-28,Mavericks,,Wesley Matthews / Wes Matthews Jr.,right hip injury ,DTD,1
2017-03-01,Blazers,,Ed Davis (a),arthroscopic surgery on left shoulder to repair injured labrum ,out for season,10
2017-03-01,Kings,Arron Afflalo,,returned to lineup,,0
2017-03-01,Knicks,,Maurice Ndour / Maurice N'dour,sprained right ankle ,out indefinitely,8
2017-03-01,Nuggets,,Jameer Nelson,illness ,DTD,1
2017-03-01,Warriors,,Kevin Durant,sprained MCL in left knee ,out indefinitely,8
2017-03-02,Blazers,,Ed Davis (a),recovering from arthroscopic surgery on left shoulder to repair injured labrum ,out for season,10
2017-03-03,76ers,,Gerald Henderson (b),sore left hip ,DTD,1
2017-03-03,Heat,Willie Reed,,returned to lineup,,0
2017-03-03,Hornets,,Frank Kaminsky,sprained AC joint in left shoulder ,DTD,1
2017-03-03,Jazz,,Joe Johnson,left groin injury ,DTD,1
2017-03-03,Nuggets,Jameer Nelson,,returned to lineup,,0
2017-03-03,Pelicans,,Jarrett Jack,right knee injury ,DTD,1
2017-03-03,Pelicans,,Omer Asik,illness ,DTD,1
2017-03-04,76ers,,Jahlil Okafor,sore right knee ,DTD,1
2017-03-04,Blazers,,Festus Ezeli,surgery on left knee ,out for season,10
2017-03-04,Cavaliers,,Kyrie Irving,rest ,DTD,1
2017-03-04,Cavaliers,,LeBron James,rest ,DTD,1
2017-03-05,Jazz,,Joe Johnson,strained left groin ,DTD,1
2017-03-05,Magic,,Nikola Vucevic,sore right Achilles ,DTD,1
2017-03-06,76ers,Gerald Henderson (b),,returned to lineup,,0
2017-03-06,Cavaliers,Kyrie Irving,,returned to lineup,,0
2017-03-06,Cavaliers,LeBron James,,returned to lineup,,0
2017-03-06,Celtics,,Jonas Jerebko,flu ,DTD,1
2017-03-06,Heat,,James Johnson,right elbow injury ,DTD,1
2017-03-06,Heat,,James Johnson,lacerated right elbow ,DTD,1
2017-03-06,Heat,,Tyler Johnson,sore left shoulder ,DTD,1
2017-03-06,Jazz,,George Hill,sore toe ,DTD,1
2017-03-06,Knicks,,Carmelo Anthony,sore left knee ,DTD,1
2017-03-06,Pelicans,Jarrett Jack,,returned to lineup,,0
2017-03-07,Jazz,,Derrick Favors,sore right knee ,DTD,1
2017-03-08,Cavaliers,,Andrew Bogut,fractured tibia in left / right leg ,out for season,10
2017-03-08,Cavaliers,,Kyle Korver,sore left foot ,DTD,1
2017-03-08,Celtics,Jonas Jerebko,,returned to lineup,,0
2017-03-08,Heat,James Johnson,,returned to lineup,,0
2017-03-08,Heat,Tyler Johnson,,returned to lineup,,0
2017-03-08,Jazz,Joe Johnson,,returned to lineup,,0
2017-03-08,Knicks,Carmelo Anthony,,returned to lineup,,0
2017-03-08,Nuggets,,Danilo Gallinari,illness ,DTD,1
2017-03-08,Raptors,,DeMarre Carroll,sprained left ankle ,DTD,1
2017-03-08,Rockets,,Ryan Anderson,back injury ,DTD,1
2017-03-08,Timberwolves,,Brandon Rush,illness ,DTD,1
2017-03-08,Jazz,,George Hill,sore left big toe ,DTD,1
2017-03-09,76ers,Jahlil Okafor,,returned to lineup,,0
2017-03-09,Grizzlies,,Chandler Parsons,sore left knee / rest ,DTD,1
2017-03-09,Hornets,,Johnny O'Bryant III,sprained right ankle ,out for season,10
2017-03-09,Nets,,Brook Lopez,sprained right ankle ,DTD,1
2017-03-09,Spurs,,(William) Tony Parker,stiffness in back ,DTD,1
2017-03-10,Bucks,,Malcolm Brogdon,sore back ,DTD,1
2017-03-10,Bucks,,Mirza Teletovic,strained left hamstring ,DTD,1
2017-03-10,Nuggets,Danilo Gallinari,,returned to lineup,,0
2017-03-10,Raptors,DeMarre Carroll,,returned to lineup,,0
2017-03-10,Rockets,Ryan Anderson,,returned to lineup,,0
2017-03-10,Spurs,,Kawhi Leonard,concussion ,DTD,1
2017-03-10,Timberwolves,Brandon Rush,,returned to lineup,,0
2017-03-10,Warriors,,Shaun Livingston,rest ,DTD,1
2017-03-11,76ers,,Gerald Henderson (b),sore left hip / rest ,DTD,1
2017-03-11,Grizzlies,Chandler Parsons,,returned to lineup,,0
2017-03-11,Jazz,,Rudy Gobert,sore right leg ,DTD,1
2017-03-11,Jazz,George Hill,,returned to lineup,,0
2017-03-11,Magic,Nikola Vucevic,,returned to lineup,,0
2017-03-11,Raptors,,DeMarre Carroll,sore left ankle ,DTD,1
2017-03-11,Spurs,,(William) Tony Parker,sore lower back ,DTD,1
2017-03-11,Spurs,,Dejounte Murray,sore left groin ,DTD,1
2017-03-11,Suns,,Alex Len,hip injury ,DTD,1
2017-03-11,Warriors,,Klay Thompson,rest ,DTD,1
2017-03-11,Warriors,,Stephen Curry,rest ,DTD,1
2017-03-11,Warriors,Shaun Livingston,,returned to lineup,,0
2017-03-11,Pelicans,,Omer Asik,illness ,out for season,10
2017-03-12,76ers,,Robert Covington,sore right knee ,DTD,1
2017-03-12,76ers,Gerald Henderson (b),,returned to lineup,,0
2017-03-12,Heat,,Goran Dragic,bruised right orbital bone ,DTD,1
2017-03-12,Heat,,Goran Dragic,eye injury ,DTD,1
2017-03-12,Nets,Brook Lopez,,returned to lineup,,0
2017-03-12,Suns,,Alex Len,bruised right hip ,DTD,1
2017-03-13,Bucks,Malcolm Brogdon,,returned to lineup,,0
2017-03-13,Bucks,Mirza Teletovic,,returned to lineup,,0
2017-03-13,Grizzlies,,Chandler Parsons,torn meniscus in left knee ,out for season,10
2017-03-13,Hornets,,Nicolas Batum,migraine headache ,DTD,1
2017-03-13,Hornets,Frank Kaminsky,,returned to lineup,,0
2017-03-13,Jazz,Rudy Gobert,,returned to lineup,,0
2017-03-13,Kings,,Tyreke Evans,sore left ankle ,DTD,1
2017-03-13,Nuggets,,Darrell Arthur,rest ,DTD,1
2017-03-13,Spurs,,(William) Tony Parker,sore lower back ,DTD,1
2017-03-13,Spurs,Kawhi Leonard,,returned to lineup,,0
2017-03-14,76ers,Robert Covington,,returned to lineup,,0
2017-03-14,Pacers,,Lavoy Allen,sore left knee ,DTD,1
2017-03-14,Warriors,Klay Thompson,,returned to lineup,,0
2017-03-14,Warriors,Stephen Curry,,returned to lineup,,0
2017-03-15,Bucks,,Rashad Vaughn,foot injury ,DTD,1
2017-03-15,Bulls,,Dwyane Wade,fractured right elbow ,out indefinitely,8
2017-03-15,Heat,Goran Dragic,,returned to lineup,,0
2017-03-15,Kings,Tyreke Evans,,returned to lineup,,0
2017-03-15,Nuggets,,Danilo Gallinari,left knee injury ,DTD,1
2017-03-15,Pistons,Beno Udrih,,returned to lineup,,0
2017-03-15,Suns,,Brandon Knight,back spasms ,DTD,1
2017-03-15,Suns,,Eric Bledsoe,left knee injury ,out for season,10
2017-03-15,Suns,Alex Len,,returned to lineup,,0
2017-03-15,Timberwolves,,Lance Stephenson,sprained left ankle ,DTD,1
2017-03-15,Timberwolves,,Nemanja Bjelica,left ankle / foot injury ,out for season,10
2017-03-15,Timberwolves,Adreian Payne,,returned to lineup,,0
2017-03-16,Cavaliers,,Derrick Williams,bruised right quadriceps ,DTD,1
2017-03-16,Celtics,,Isaiah Thomas,bone bruise in right knee ,DTD,1
2017-03-16,Clippers,,Blake Griffin,rest ,DTD,1
2017-03-16,Jazz,,Rodney Hood,sore right knee ,DTD,1
2017-03-16,Nets,,Trevor Booker,rest ,DTD,1
2017-03-16,Nuggets,,Darrell Arthur,sore left knee ,DTD,1
2017-03-16,Raptors,DeMarre Carroll,,returned to lineup,,0
2017-03-17,Nets,,Joe Harris,sprained left shoulder ,out for season,10
2017-03-17,Nets,,Trevor Booker,sore left leg ,DTD,1
2017-03-17,Pelicans,,DeMarcus Cousins,sore ribs / sore left knee ,DTD,1
2017-03-17,Suns,,Leandro Barbosa,illness ,DTD,1
2017-03-17,Suns,Brandon Knight,,returned to lineup,,0
2017-03-18,Bucks,Rashad Vaughn,,returned to lineup,,0
2017-03-18,Cavaliers,,Kevin Love,rest ,DTD,1
2017-03-18,Cavaliers,,Kyrie Irving,rest / knee injury ,DTD,1
2017-03-18,Cavaliers,,LeBron James,rest ,DTD,1
2017-03-18,Cavaliers,Derrick Williams,,returned to lineup,,0
2017-03-18,Clippers,Blake Griffin,,returned to lineup,,0
2017-03-18,Hawks,,Paul Millsap,tightness in left knee ,DTD,1
2017-03-18,Heat,,Dion Waiters,sprained left ankle ,out for season,10
2017-03-18,Hornets,Nicolas Batum,,returned to lineup,,0
2017-03-18,Kings,,Tyreke Evans,ankle injury ,DTD,1
2017-03-18,Nets,,Sean Kilpatrick,strained left hamstring ,DTD,1
2017-03-18,Timberwolves,Lance Stephenson,,returned to lineup,,0
2017-03-19,76ers,,Justin Anderson,gastroenteritis ,DTD,1
2017-03-19,Cavaliers,Kevin Love,,returned to lineup,,0
2017-03-19,Cavaliers,Kyrie Irving,,returned to lineup,,0
2017-03-19,Cavaliers,LeBron James,,returned to lineup,,0
2017-03-19,Hawks,,Kent Bazemore,bone bruise in right knee ,DTD,1
2017-03-19,Lakers,,Nick Young,gastroenteritis ,DTD,1
2017-03-19,Pelicans,DeMarcus Cousins,,returned to lineup,,0
2017-03-19,Pistons,,Michael Gbinije,sprained left ankle ,DTD,1
2017-03-19,Suns,,Ronnie Price,left leg injury ,DTD,1
2017-03-19,Lakers,,Tarik Black,illness ,DTD,1
2017-03-20,76ers,,Gerald Henderson (b),rest ,DTD,1
2017-03-20,76ers,,Jahlil Okafor,sore right knee ,DTD,1
2017-03-20,76ers,Justin Anderson,,returned to lineup,,0
2017-03-20,Jazz,Rodney Hood,,returned to lineup,,0
2017-03-21,Grizzlies,,Tony Allen,left knee injury ,DTD,1
2017-03-21,Lakers,Nick Young,,returned to lineup,,0
2017-03-21,Lakers,Tarik Black,,returned to lineup,,0
2017-03-21,Nets,,Jeremy Lin,ankle injury ,DTD,1
2017-03-21,Nets,Trevor Booker,,returned to lineup,,0
2017-03-21,Suns,,Alan Williams,gastroenteritis ,DTD,1
2017-03-21,Suns,Leandro Barbosa,,returned to lineup,,0
2017-03-21,Timberwolves,,Nemanja Bjelica,recovering from surgery on left foot ,out for season,10
2017-03-22,76ers,Gerald Henderson (b),,returned to lineup,,0
2017-03-22,76ers,Jahlil Okafor,,returned to lineup,,0
2017-03-22,Bucks,,John Henson,sprained left thumb ,DTD,1
2017-03-22,Kings,,Kosta Koufos,rest ,DTD,1
2017-03-22,Kings,,Ty Lawson,rest ,DTD,1
2017-03-22,Kings,Tyreke Evans,,returned to lineup,,0
2017-03-22,Nuggets,Darrell Arthur,,returned to lineup,,0
2017-03-23,Grizzlies,Tony Allen,,returned to lineup,,0
2017-03-23,Knicks,,Carmelo Anthony,sore left knee ,DTD,1
2017-03-23,Knicks,,Derrick Rose,sore right foot ,DTD,1
2017-03-23,Knicks,,Lance Thomas,sore right hip ,out for season,10
2017-03-23,Nets,Jeremy Lin,,returned to lineup,,0
2017-03-23,Pacers,,Glenn Robinson III,strained left calf ,out for season,10
2017-03-23,Suns,,T.J. Warren,left foot injury ,DTD,1
2017-03-23,Suns,Alan Williams,,returned to lineup,,0
2017-03-24,76ers,,Jahlil Okafor,sore right knee ,out for season,10
2017-03-24,76ers,,Joel Embiid,surgery on left knee to repair torn meniscus ,out for season,10
2017-03-24,Celtics,,Avery Bradley,illness ,DTD,1
2017-03-24,Kings,Kosta Koufos,,returned to lineup,,0
2017-03-24,Kings,Ty Lawson,,returned to lineup,,0
2017-03-24,Hornets,,Miles Plumlee,strained right calf ,DTD,1
2017-03-25,Knicks,Derrick Rose,,returned to lineup,,0
2017-03-25,Raptors,,DeMarre Carroll,sore lower back ,DTD,1
2017-03-25,Rockets,,Ryan Anderson,sprained right ankle ,DTD,1
2017-03-26,76ers,,Tiago Splitter,strained right calf ,DTD,1
2017-03-26,Celtics,Avery Bradley,,returned to lineup,,0
2017-03-26,Grizzlies,,Marc Gasol,strained left foot ,DTD,1
2017-03-26,Hawks,,Thabo Sefolosha,strained right groin ,DTD,1
2017-03-26,Kings,,Ty Lawson,stiffness in right knee ,DTD,1
2017-03-26,Pelicans,,DeMarcus Cousins,sprained right ankle ,DTD,1
2017-03-26,Suns,,Brandon Knight,rest ,DTD,1
2017-03-26,Suns,,Eric Bledsoe,rest ,out for season,10
2017-03-26,Suns,,Leandro Barbosa,sore right hamstring ,out for season,10
2017-03-26,Suns,,Tyson Chandler,rest ,DTD,1
2017-03-26,Suns,T.J. Warren,,returned to lineup,,0
2017-03-27,Cavaliers,,Kyle Korver,sore left foot ,DTD,1
2017-03-27,Jazz,,Gordon Hayward,bruised left quadricep ,DTD,1
2017-03-27,Kings,Ty Lawson,,returned to lineup,,0
2017-03-27,Pacers,,Al Jefferson,sprained left ankle ,DTD,1
2017-03-27,Cavaliers,,Iman Shumpert,sore right knee ,DTD,1
2017-03-28,76ers,,Gerald Henderson (b),sore left hip ,DTD,1
2017-03-28,76ers,,Sergio Rodriguez,strained / tightness in left hamstring ,out for season,10
2017-03-29,76ers,,Robert Covington,swelling in right knee ,out for season,10
2017-03-29,76ers,Gerald Henderson (b),,returned to lineup,,0
2017-03-29,Grizzlies,,JaMychal Green,sore left shoulder ,DTD,1
2017-03-29,Hornets,Miles Plumlee,,returned to lineup,,0
2017-03-29,Jazz,,Raulzinho Neto / Raul Neto,strained right groin ,DTD,1
2017-03-29,Jazz,Gordon Hayward,,returned to lineup,,0
2017-03-29,Mavericks,,Salah Mejri,knee injury ,DTD,1
2017-03-29,Nets,,Quincy Acy,ankle injury ,DTD,1
2017-03-29,Pelicans,DeMarcus Cousins,,returned to lineup,,0
2017-03-29,Raptors,DeMarre Carroll,,returned to lineup,,0
2017-03-29,Warriors,,Kevon Looney,strained left hip ,DTD,1
2017-03-29,Knicks,Joakim Noah,,returned to lineup,,0
2017-03-30,76ers,,Robert Covington,torn meniscus in right knee ,out for season,10
2017-03-30,Cavaliers,,Richard Jefferson,left knee injury ,DTD,1
2017-03-30,Cavaliers,Iman Shumpert,,returned to lineup,,0
2017-03-30,Clippers,,Austin Rivers,strained left hamstring ,DTD,1
2017-03-30,Nuggets,,Darrell Arthur,sore left knee ,DTD,1
2017-03-31,Blazers,,Jusuf Nurkic,fractured fibula in right leg ,out for season,10
2017-03-31,Bucks,,Malcolm Brogdon,sore back ,DTD,1
2017-03-31,Jazz,,Raulzinho Neto / Raul Neto,strained right groin ,DTD,1
2017-03-31,Lakers,,Ivica Zubac,sprained right ankle ,out for season,10
2017-03-31,Mavericks,,Seth Curry,sore left shoulder ,out for season,10
2017-03-31,Pelicans,,Alexis Ajinca / Alex Ajinca,hip injury ,DTD,1
2017-03-31,Warriors,,Patrick McCaw,leg cramps ,DTD,1
2017-04-01,Hawks,,Malcolm Delaney,back spasms ,DTD,1
2017-04-01,Spurs,,Danny Green,bruised left quadricep ,DTD,1
2017-04-02,76ers,,Sergio Rodriguez,strained left knee ,out for season,10
2017-04-02,Cavaliers,Richard Jefferson,,returned to lineup,,0
2017-04-02,Jazz,,Raulzinho Neto / Raul Neto,strained right groin ,DTD,1
2017-04-02,Nuggets,,Jameer Nelson,calf injury ,DTD,1
2017-04-02,Pelicans,Alexis Ajinca / Alex Ajinca,,returned to lineup,,0
2017-04-02,Spurs,,LaMarcus Aldridge,sprained left/right thumb ,DTD,1
2017-04-02,Warriors,Patrick McCaw,,returned to lineup,,0
2017-04-03,Rockets,,Sam Dekker,fractured left hand ,out indefinitely,8
2017-04-04,76ers,,Sergio Rodriguez,strained left hamstring ,out for season,10
2017-04-04,Grizzlies,JaMychal Green,,returned to lineup,,0
2017-04-04,Grizzlies,Marc Gasol,,returned to lineup,,0
2017-04-04,Jazz,,Rodney Hood,sore right knee ,DTD,1
2017-04-04,Kings,,Anthony Tolliver,strained right hip / lower back ,DTD,1
2017-04-04,Kings,,Arron Afflalo,strained lower back / hip ,DTD,1
2017-04-04,Kings,,Darren Collison,rest ,DTD,1
2017-04-04,Kings,,Kosta Koufos,rest ,DTD,1
2017-04-04,Kings,,Ty Lawson,rest ,DTD,1
2017-04-04,Mavericks,,Dirk Nowitzki,sore right Achilles ,DTD,1
2017-04-04,Mavericks,,Wesley Matthews / Wes Matthews Jr.,rest ,DTD,1
2017-04-04,Spurs,LaMarcus Aldridge,,returned to lineup,,0
